Space,Ceiling_Height,Label
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,0
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,1
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,2
Living Room,1.83,3
Living Room,1.83,3
Living Room,1.83,3
Living Room,1.83,3
Living Room,2.22,0
Living Room,2.22,0
Living Room,2.22,0
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,1
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,2
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.22,3
Living Room,2.6,0
Living Room,2.6,0
Living Room,2.6,0
Living Room,2.6,0
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,1
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,2
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.6,3
Living Room,2.99,0
Living Room,2.99,0
Living Room,2.99,1
Living Room,2.99,1
Living Room,2.99,1
Living Room,2.99,1
